"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50"
"g324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.657,0,0,0,0,0,0,0,0
"g325",0,0,0,0,0,0,26.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g326",495.414,34.695,774.027,35.112,10.424,67.73,3.669,465.712,58.645,25.29,852.075,6.851,193.136,23.22,445.797,26.146,1223.7,19.296,0,292.3,325.399,18.788,0,0,3.866,488.556,698.6,41.22,1.128,1478.15,288.508,1966.818,78.977,0,205.078,84.738,36.83,258.499,1069.557,10.173,18.755,184.912,178.859,269.431,387.103,9.845,316.654,0.995,71.587,345.904
"g327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701,0,3.081,0,0,0,0,0,0,0,0,29.916,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0.532,0,0,0,0,0
"g330",5.662,0,14.525,6.281,0,0,0,0,46.239,0,0,0,0,294.892,0,0,0,0,0,112.221,0,0,5.249,0,337.621,214.888,0,270.503,0,194.087,0,0,9.222,0,313.35,89.07,0,632.544,777.358,3.936,0,30.361,0,0,10.635,0,0,0.985,0,0
"g331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g332",0,0,0,0,0,6.197,0,0,0,17.797,0,0,0,0,0,0,1.724,0,0,0,0,0,0,0,1.289,0,0,3.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.828,0,0,0,0
"g333",520.907,0,47.726,194.716,346.07,99.148,136.389,40.097,1042.401,591.005,878.633,0,550.025,116.47,1431.849,2.902,9.195,147.423,371.406,37.875,233.278,12.325,829.401,815.342,45.102,608.208,3.536,456.81,1.805,348.653,68.518,68.114,724.992,447.244,118.377,193.958,34.839,441.026,1490.759,57.066,3224.665,13.2,528.806,377.114,152.016,325.873,184.467,3761.433,899.387,125.433
"g334",580.344,19.275,222.028,450.149,80.185,2099.886,400.221,3.084,103.756,135.818,301.747,23,226.137,130.136,6.369,2.902,24.712,8.49,3.599,0,108.016,3.852,56.431,1.577,401.538,290.84,84.865,46.577,0,128.229,71.413,25.398,280.922,26.227,35.598,296.849,18.913,122.832,0.866,0,0,200.91,124.501,31.558,79.759,241.129,162.119,16.75,0,482.372
"g335",430.329,0,49.801,10.469,0,18.59,88.811,9.253,20.3,444.313,15.764,0,83.16,14.868,0,26.117,29.884,187.528,14.394,0,364.893,14.636,70.867,55.197,0,33.345,45.969,0,3.61,26.347,0.965,21.935,0,21.459,94.655,28.016,83.605,13.369,0,3.936,14.208,106.923,94.833,443.385,64.871,225.956,32.973,129.044,3.102,288.876
"g336",2.831,3.855,0,87.936,191.21,12.393,1.057,0,201.874,3.747,1.659,4.708,0,0,889.288,17.499,1.724,0.772,1.799,0,2.723,1.541,0,0,2.577,31.492,0,1228.908,2.707,0,0,2.309,507.894,24.638,0,1.437,1823.576,362.664,0.866,0,0,121.444,3.293,7.889,0,0,0,5.912,4.653,7.602
"g337",19.817,0,4.15,0,8.224,12.393,0,3.084,0,484.262,13.275,0,0,17.347,0,0,1.724,3.087,8.996,4.91,0,0.77,18.373,9.431,0,25.935,0,1.791,11.732,0,0,371.74,7.789,0.795,3.861,0,0,23.397,0,25.581,37.889,495.029,0,0,0,581.33,18.319,0,0,7.602
"g338",0,0,0,0,0,0,0,0,0,31.847,0,0,0,0,0,0,0.575,0,0,0,0,0,0,0,0,0,0,0,1112.624,0,0,0,0,0,0,0,3.982,0,0,0,0,9.24,0,11.384,0,0,0,0,0,0
"g339",1489.115,2868.095,398.966,1020.017,1323.914,18.59,1368.77,17.92,758.413,1326.128,727.357,12.406,2125.488,1256.388,1876.104,2999.878,583.316,1459.25,219.511,915.111,446.259,2382.805,457.824,717.359,477.541,186.86,44.201,496.221,301.27,490.038,1155.836,466.569,350.443,581.574,901.612,132.897,832.792,844.618,1228.729,97.051,3563.727,585.729,781.642,1169.329,522.662,928.851,486.943,11.183,187.653,1018.896
"g340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g341",696.43,11.565,587.523,228.215,565.406,6.197,2105.057,4616.902,340.591,2.81,498.639,7.062,217.384,2.478,3.822,29.019,1579.164,728.51,0,1073.118,1208.995,1137.088,65.617,122.995,0,444.541,864.565,1259.362,133.538,2289.52,68.518,3.463,100.735,1344.997,828.636,0.718,7.963,1020.159,558.36,0,0,0,0,950.603,379.122,165.523,1906.041,0,0,0
"g342",1.416,3.662,0,2.408,7.546,8.737,4.324,0,0,0,0,4.261,0,1.078,1.465,2.931,0.563,0.208,4.408,0,1.979,2.249,2.047,0,2.796,0,7.072,0,0.695,0,0,1.154,0,0,2.104,2.96,1.782,0,0,0.787,18.076,3.683,0,0.773,0.574,7.017,0.925,0,0,6.411
"g343",1841.818,158.054,2205.754,538.085,41.141,0,27.489,4244.246,141.943,1594.233,1907.504,4.708,5.836,1144.391,876.434,14.51,105.176,1699.928,395.552,608.096,974.038,1234.455,61.68,2864.451,0,791.011,705.053,0,3.61,8.782,865.62,472.168,530.624,201.074,105.997,382.894,388.748,276.581,25.105,468.331,1433.684,3527.509,163.337,10.256,2142.295,169.006,120.554,26.603,125.619,1635.696
"g344",21.233,0,4.15,33.499,22.616,0,0,0,1.128,0,0,0,0,475.792,19.108,0,0,0,0,0,67.169,0.77,0,0,130.152,0,0,0,0,0,0,0,1.383,0,34.817,9.339,0,15.041,0,0,0,0,0,0.789,0,0,0,19.706,0,0
"g345",0,0.54,0,159.122,0,12.393,0,0,36.698,44.914,0,12.642,151.731,0,0,0,0.402,1.544,1.799,0,0,1.541,165.408,1.577,0,0,30.056,8.957,6.317,5.269,0,0,0,4.769,0.774,0.718,0,113.641,102.149,21.626,685.165,25.398,0,0,304.569,0,0,0,1333.471,386.384
"g346",8.493,0,0,0,2.056,0,1.998,0,22.556,0,0,4.708,0,0,0,3717.556,0,110.382,0,0,0,0,0,0,19.329,38.902,5.304,80.613,0,5.269,0,0,0,3.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.102,0
"g347",0,46.761,0,8.375,0,0,0,0,0,1.873,0,0,0,0,0,0,24.712,1.544,0,1.403,0,0.77,0,0,1.289,0,0,0,0,0,0,0,0,0,0,2.873,5.972,0,0,0,0,0,0,0,0,22.415,0,0,0,0
"g348",259.222,4962.884,639.108,374.775,520.174,570.037,174.45,9.253,761.786,1045.331,309.264,7.062,910.386,538.103,1658.601,3485.227,280.052,108.831,0,146.588,814.638,556.935,947.512,1313.788,645.604,113.002,990.059,379.779,83.929,1431.13,842.478,791.911,493.742,597.66,405.42,1238.944,442.959,740.336,561.822,0,2.21,913.469,825.792,567.241,258.42,1041.467,1938.611,864.781,139.577,1025.788
"g349",935.637,3.855,31.125,129.81,111.066,11.402,1.152,21.714,121.869,0.937,0,54.31,110.822,0,9.975,322.115,449.072,792.303,9.158,3.507,261.997,0.77,171.917,197.149,0,3.353,19.448,118.359,13.158,0,275.017,5.98,27.738,821.926,744.434,678.134,907.846,3.342,0,1.968,1268.139,15.854,30.729,1447.667,162.645,1625.642,15.617,0,7.754,1.305
"g350",1591.032,0,0,87.936,1513.233,0,169.164,3.084,1654.462,406.518,599.03,0,32.097,0,229.3,5.804,599.362,0,0,326.843,256.878,0,0,0,10.309,1131.868,40.665,0,0,3.513,138.965,0,0,16.69,0,25.143,0,1.671,0,0,0,0,0,0,0,0,0,0.985,0,22.806
"g351",0,241.244,2.075,0,0,0,43.348,43.181,163.529,0,0,0,0,4.956,0,0,372.406,0,199.737,0.701,0,0,0,0,0,0,0,1.791,10.83,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0,0.789,0,0,0,0.985,0,0
"g352",0,250.766,213.728,0,0,0,2.115,1566.871,541.337,211.726,0,2.354,0,640.584,114.65,92.862,1.149,288.671,0,348.586,0.908,60.855,145.67,111.971,0,424.219,0,892.123,0.902,1.756,772.03,0,929.569,0.795,465.769,0,26.876,0,0,0,1.579,1635.07,89.565,886.202,319.569,0,233.552,0,2340.455,454.853
"g353",301.503,366.068,66.401,148.654,92.521,347.017,139.56,657.006,119.545,751.149,659.414,2862.643,13.131,76.821,1224.562,1892.179,1.149,207.666,0,302.295,842.341,22.339,297.902,0,0,346.415,12.376,202.429,0,7.026,441.022,10.39,242.6,77.887,405.42,1086.666,1070.855,1057.861,14.716,1.968,0,1.32,408.968,1.578,110.599,1241.939,1.832,16.75,9.305,84.889
"g354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g355",0,0,0,8.375,0,0,0,0,0,0,0,435.517,0,0,0,0,301.144,502.412,0,2.104,0,0,0,0,0,0,70.703,0,0,0,0,0,0,0,0,0,0,31.753,0,0,0,798.626,114.432,2.367,0.532,0.853,0,0,1.551,16.471
